Depth,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS,TVD,V_mud
950.8236,8.5,8.7762,2.328,105.1814,102.4773,0.299712,2.9209,19.4121,16.4183,8.0444,-278.8843,36.7346,1013.6608,914.140194,0.772314545
950.976,8.5,8.8797,2.3271,104.5514,103.3627,0.303763,2.9418,18.3068,15.39,8.0265,-279.798,36.7364,1011.9813,914.2820007,0.788412727
951.1284,8.5,8.9973,2.3217,104.462,101.7515,0.304627,2.9263,17.695,14.8098,8.2304,-280.9152,36.7382,1012.7103,914.4238073,0.759118182
951.2808,8.5,9.0978,2.3182,104.2748,101.0852,0.311833,2.9098,16.4208,13.7591,8.2731,-282.0861,36.74,1018.6234,914.5656139,0.747003636
951.4332,8.5,9.1499,2.3295,103.4333,105.5762,0.317753,2.9521,15.192,12.7664,8.274,-283.1787,36.7418,1018.4218,914.7074204,0.828658182
951.5856,8.5,9.1677,2.3641,100.489,111.5365,0.309426,3.0892,15.5575,13.0999,8.7126,-284.1227,36.7436,1014.4384,914.8492268,0.937027273
951.738,8.5,9.15,2.431,94.8768,113.5495,0.28617,3.2631,20.1624,16.9512,10.6537,-284.8452,36.7455,1013.0753,914.9910332,0.973627273
951.8904,8.5,9.04,2.5006,89.9178,110.2942,0.248594,3.3767,30.2757,25.3114,14.4027,-285.3511,36.7473,1014.6777,915.1328394,0.91444
952.0428,8.5,8.8335,2.4992,88.9087,105.5422,0.227929,3.3536,35.2854,29.4316,15.963,-285.6764,36.7491,1018.9982,915.2746456,0.82804
952.1952,8.5,8.6757,2.4333,91.684,101.7675,0.250521,3.199,25.78,21.6509,12.3715,-285.904,36.7509,1023.679,915.4164517,0.759409091
952.3476,8.5,8.6466,2.3846,96.9978,100.935,0.286252,3.084,16.4447,13.9934,8.9269,-286.0421,36.7528,1024.3795,915.5582578,0.744272727
952.5,8.5,8.7159,2.362,102.2258,99.7018,0.303907,3.043,14.0479,12.0128,7.964,-286.0409,36.7546,1022.1499,915.7000637,0.721850909
952.6524,8.5,8.8412,2.3403,104.7476,98.5204,0.309382,2.9847,14.0878,12.0392,7.8012,-285.8503,36.7564,1021.4963,915.8418696,0.700370909
