,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
15465,2733.4464,0,103.7399,3,0.1455,6.7067,2693.5712,0.6659,75.1482,8.5,9.2348,2.5824,SR,9.293,3,5
15466,2733.5988,0,101.3943,3,0.15,6.5754,2693.7236,0.636,75.7591,8.5,9.23,2.5788,SR,9.293,3,5
15467,2733.7512,0,97.2927,3,0.1587,6.4257,2693.8759,0.5834,76.8147,8.5,9.2286,2.5738,SR,9.293,3,5
15468,2733.9036,0,93.1912,3,0.1674,6.276,2694.0283,0.5308,77.8703,8.5,9.2273,2.5689,SR,9.293,3,5
15469,2734.056,0,91.6337,3,0.1733,6.1907,2694.1806,0.5111,78.6753,8.5,9.222,2.5671,SR,9.293,3,5
15470,2734.2084,0,94.4558,3,0.1743,6.2163,2694.3329,0.5481,79.049,8.5,9.2102,2.5709,SR,9.293,3,5
15471,2734.3608,0,97.278,3,0.1753,6.2418,2694.4853,0.5852,79.4227,8.5,9.1983,2.5747,SR,9.293,3,5
15472,2734.5132,0,100.0985,3,0.1762,6.2659,2694.6376,0.6221,79.757,8.5,9.1872,2.5783,SR,9.293,3,5
15473,2734.6656,0,102.902,3,0.175,6.2748,2694.79,0.6584,79.6769,8.5,9.1842,2.5791,SR,9.293,3,5
15474,2734.818,0,105.7055,3,0.1738,6.2837,2694.9423,0.6947,79.5967,8.5,9.1813,2.5799,SR,9.293,3,5
15475,2734.9704,0,108.509,3,0.1727,6.2926,2695.0947,0.731,79.5165,8.5,9.1783,2.5807,SR,9.293,3,5
15476,2735.1228,0,105.5752,3,0.1654,6.4763,2695.247,0.6937,78.1281,8.5,9.1696,2.5784,SR,9.293,3,5
15477,2735.2752,0,101.2585,3,0.1566,6.7023,2695.3994,0.6387,76.4244,8.5,9.1595,2.5753,SR,9.293,3,5
15478,2735.4276,0,96.9418,3,0.1478,6.9282,2695.5517,0.5837,74.7207,8.5,9.1493,2.5723,SR,9.293,3,5
15479,2735.58,0,94.2908,3,0.1449,7.3863,2695.704,0.5499,73.6276,8.5,9.1433,2.5758,SR,9.293,3,5
15480,2735.7324,0,93.1474,3,0.1474,8.0546,2695.8564,0.5353,73.087,8.5,9.141,2.5852,SR,9.293,3,5
15481,2735.8848,0,92.0039,3,0.1499,8.723,2696.0087,0.5207,72.5465,8.5,9.1388,2.5946,SR,9.293,3,5
15482,2736.0372,0,91.5915,3,0.1519,9.3537,2696.1611,0.5158,72.0828,8.5,9.1318,2.6005,SR,9.293,3,5
15483,2736.1896,0,93.4428,3,0.1524,9.8679,2696.3134,0.5411,71.8571,8.5,9.1103,2.5952,SR,9.293,3,5
15484,2736.342,0,95.2942,3,0.1528,10.3822,2696.4658,0.5663,71.6314,8.5,9.0888,2.59,SR,9.293,3,5
15485,2736.4944,0,97.1455,3,0.1533,10.8964,2696.6181,0.5915,71.4057,8.5,9.0674,2.5848,SR,9.293,3,5
15486,2736.6468,0,96.2115,3,0.1481,10.9758,2696.7704,0.5796,70.636,8.5,9.0651,2.583,SR,9.293,3,5
